# Time, s 	 Temperature, degC 	 Target temperature, degC
0	46.5	56.0
0.582000017166	46.25	55.0
1.77600002289	45.25	57.0
2.97499990463	45.5	54.75
4.17599987984	47.5	56.0
5.37599992752	45.75	55.5
6.57699990273	47.25	56.5
7.77699995041	47.5	55.0
8.97699999809	48.75	57.0
10.1770000458	49.75	55.25
11.376999855	50.5	57.25
12.5769999027	50.0	59.25
13.7779998779	50.0	59.0
14.9769999981	51.5	61.0
16.1779999733	52.0	62.25
17.3980000019	51.25	61.0
18.6069998741	51.5	61.75
19.7779998779	51.5	60.75
20.9789998531	54.5	62.75
22.1989998817	52.75	64.75
23.3789999485	54.5	64.75
24.5799999237	56.0	66.5
25.7790000439	58.5	67.0
26.9800000191	58.25	68.5
28.1799998283	59.5	70.25
29.379999876	61.5	70.5
30.5799999237	63.75	72.25
31.7809998989	62.5	72.25
32.9809999466	65.25	74.25
34.2009999752	65.75	76.25
35.381000042	66.5	74.5
36.5809998512	66.75	76.5
37.7819998264	69.5	78.25
38.9869999886	69.0	76.75
40.1829998493	70.25	78.75
41.3949999809	70.75	80.75
46.3699998856	71.75	82.75
46.393999815	72.25	83.25
46.396999836	75.75	85.0
46.4639999866	78.0	84.25
47.3849999905	76.25	86.25
48.5829999447	76.5	86.75
49.7829999924	76.75	88.25
50.9830000401	76.5	89.0
52.1840000153	78.5	91.0
53.3839998245	80.5	91.25
54.5839998722	82.25	91.25
55.7849998474	83.75	93.25
56.9849998951	85.25	94.75
58.2059998512	84.75	95.75
59.3849999905	82.75	97.5
60.5850000381	88.0	97.0
61.7849998474	88.5	98.5
62.9859998226	91.5	98.75
64.1859998703	91.0	100.0
65.385999918	93.75	100.0
66.5879998207	93.0	100.0
67.7860000134	96.0	100.0
68.9859998226	94.5	100.25
70.2009999752	99.0	100.75
71.3869998455	99.75	101.25
72.5869998932	98.0	101.5
73.7890000343	100.5	102.0
75.0149998665	100.75	102.5
76.1879999638	103.0	102.75
77.3880000114	101.25	103.25
78.5879998207	100.0	103.75
79.7879998684	104.25	104.0
80.9889998436	103.5	104.5
82.2079999447	104.25	105.0
83.3899998665	106.0	105.25
84.5920000076	103.25	105.75
85.7890000343	108.5	106.25
86.9889998436	103.25	106.5
88.1899998188	109.25	107.0
89.4089999199	105.0	107.5
90.5950000286	107.25	107.75
91.7899999619	106.5	108.25
92.9900000095	109.25	108.75
94.1909999847	102.25	109.0
95.3919999599	110.5	109.5
96.6099998951	110.25	110.0
97.7909998894	107.0	110.25
98.9919998646	113.25	110.75
100.190999985	109.5	111.25
101.39199996	110.25	111.5
102.592000008	109.0	112.0
103.791999817	113.0	112.5
104.991999865	109.75	112.75
106.203999996	114.75	113.25
107.392999887	110.75	113.75
108.592999935	115.25	114.0
109.792999983	115.5	114.5
110.993000031	114.5	115.0
112.194000006	113.5	115.25
113.392999887	117.0	115.75
114.592999935	115.0	116.25
115.813999891	113.75	116.5
116.993999958	111.75	117.0
118.194999933	115.25	117.5
119.394999981	117.25	117.75
120.593999863	119.25	118.25
121.79399991	117.75	118.75
122.994999886	120.25	119.0
124.195999861	111.25	119.5
125.394999981	118.0	120.0
126.595000029	112.25	120.25
127.794999838	118.0	120.75
128.994999886	115.25	121.25
130.195999861	120.0	121.5
131.396999836	114.25	122.0
132.595999956	123.0	122.5
133.796999931	122.25	122.75
134.996999979	122.5	123.25
136.197000027	115.75	123.75
137.396999836	123.0	124.0
138.596999884	124.25	124.5
139.797999859	124.25	125.0
140.997999907	127.0	125.25
142.197999954	121.75	125.75
143.398000002	124.75	126.25
144.597999811	118.75	126.5
145.799000025	128.5	127.0
147.0	127.25	127.5
148.198999882	129.0	127.75
149.398999929	127.75	128.25
150.598999977	128.0	128.75
151.799000025	128.75	129.0
153.0	127.25	129.5
154.199999809	129.5	130.0
155.399999857	121.25	130.25
156.599999905	129.25	130.75
157.799999952	130.75	131.25
159.000999928	130.25	131.5
160.223999977	124.25	132.0
161.401000023	132.25	132.5
162.601999998	131.5	132.75
163.802000046	132.25	133.25
165.001999855	135.5	133.75
166.201999903	127.75	134.0
167.40199995	131.5	134.5
168.603999853	133.25	135.0
169.804999828	135.5	135.25
171.014999866	131.75	135.75
172.225999832	136.0	136.25
173.427000046	135.5	136.5
174.603999853	137.5	137.0
175.803999901	133.0	137.5
177.003999949	136.5	137.75
178.203999996	136.75	138.25
179.404000044	135.75	138.75
180.603999853	139.25	139.0
181.820999861	131.75	139.5
183.004999876	139.0	140.0
184.220000029	141.0	140.25
185.404999971	132.0	140.75
186.620999813	139.0	141.25
187.805999994	141.0	141.5
189.024999857	142.0	142.0
190.205999851	134.75	142.5
191.405999899	141.0	142.75
192.605999947	143.5	143.25
193.805999994	144.25	143.75
195.006000042	142.5	144.0
196.207000017	137.0	144.5
197.405999899	142.75	145.0
198.606999874	144.75	145.25
199.806999922	138.0	145.75
201.006999969	147.0	146.25
202.207999945	145.75	146.5
203.407999992	146.5	147.0
204.60800004	146.0	147.5
205.809000015	146.5	147.75
207.008999825	147.5	148.25
208.207999945	149.25	148.75
209.42599988	148.25	149.0
210.610999823	150.0	149.5
211.809000015	149.5	150.0
213.00999999	150.0	150.5
214.208999872	148.25	151.25
215.40899992	148.5	152.0
216.609999895	148.5	152.5
217.809999943	149.0	153.25
219.010999918	149.75	154.0
220.210000038	152.5	154.5
221.411000013	152.25	155.25
222.610999823	145.25	156.0
223.81099987	153.5	156.5
225.010999918	154.5	157.25
226.211999893	155.25	158.0
227.411000013	154.25	158.5
228.611999989	157.5	159.25
229.812000036	158.0	160.0
231.011999846	157.5	160.5
232.211999893	155.0	161.25
233.412999868	158.0	162.0
234.612999916	157.75	162.5
235.812999964	159.5	163.25
237.017999887	158.0	164.0
238.212999821	160.0	164.5
239.414000034	163.0	165.25
240.613999844	164.75	166.0
241.813999891	162.25	166.5
243.014999866	165.5	167.25
244.214999914	163.5	168.0
245.414999962	166.5	168.5
246.613999844	165.5	169.25
247.814999819	164.75	170.0
249.014999866	166.0	170.5
250.234999895	170.0	171.25
251.434000015	167.5	172.0
252.625999928	167.0	172.5
253.815999985	169.75	173.25
255.016000032	169.25	174.0
256.217000008	168.5	174.5
257.416999817	170.5	175.25
258.616999865	169.25	176.0
259.816999912	168.75	176.5
261.01699996	173.5	177.25
262.217999935	173.25	178.0
263.417999983	171.75	178.5
264.618000031	172.25	179.25
265.819000006	174.75	180.0
267.017999887	173.75	180.5
268.218999863	177.0	181.25
269.41899991	176.0	182.0
270.618000031	176.75	182.5
